,name,tele
151,S’MAC,(212) 358-7912
152,Buttermilk Channel,(718) 852-8490
153,Bill’s Townhouse,(212) 518-2727
154,Burger Joint,(212) 708-7414
155,AOA Bar & Grill,(212) 925-1600
156,The Quarter Brooklyn,(347) 987-4012
157,One Mile House,(646) 559-0702
158,Kind Of Soul,(347) 599-2699
159,Maloney & Porcelli,(212) 750-2233
160,New York Grill,(718) 381-0100
161,Friend of A Farmer,(212) 477-2188
162,Quaint,(917) 779-9220
163,Lincoln Station,(718) 399-2211
164,The Harrow New York,(212) 757-6977
165,Sticky’s Finger Joint,(646) 854-3736
166,Lion’s Head Tavern,(212) 866-1030
167,Purbird,(718) 857-2473
168,James,(718) 942-4255
169,Spiegel,(212) 228-2894
170,BarBacon Hell’s Kitchen,(646) 362-0622
171,Schnippers,(212) 826-8100
172,The Rag Trader & Bo Peep Cocktail and Highball Store,(917) 261-5495
173,Black Tap - Soho,(917) 639-3089
174,Banter,(718) 599-5200
175,Westville West,(212) 741-7971
176,Neir’s Tavern,(718) 296-0600
177,Oscar Wilde,(212) 213-3066
178,Chez Nick,(646) 429-3310
179,Hi-Life,(212) 787-7199
180,Blue Ribbon Brasserie - SoHo,(212) 274-0404
181,Gus’ American Grill,(718) 331-7573
182,Rove,(347) 233-3183
183,American Retro,(212) 245-2203
184,The Leroy House,(646) 590-0640
185,FERNS,(646) 998-5034
186,Jack Doyle’s Bar & Restaurant,(212) 268-1255
187,The Meatball Shop,(212) 982-7815
188,Sarabeth’s West,(212) 496-6280
189,Between the Bread - Bryant Park,(212) 765-1796
190,J J Kinahan’s,(646) 476-6276
191,Schnipper’s,(212) 921-2400
192,Del Frisco’s Grille,(212) 767-0371
193,The Stag’s Head,(212) 888-2453
194,The Spaniard,(212) 918-1986
195,BurgerFi,(718) 836-0836
196,Halsey Ale House,(718) 576-6366
197,Roll-N-Roaster,(718) 769-6000
198,Gebhard’s Beer Culture,(917) 639-3420
199,Sidecar,(718) 369-0077
200,Wogies Bar & Grill,(212) 229-2171
201,Moonstruck Eatery,(212) 752-1711
202,Alchemy,(718) 636-4385
203,Joe Jr. Restaurant,(212) 473-5150
204,Mulberry & Vine,(212) 252-8468
205,Cafeteria,(212) 414-1717
206,Trestle,(347) 808-0290
207,Hourglass Tavern,(212) 265-2060
208,Prospect Bar & Grill,(347) 599-1087
209,Trademark Taste + Grind,(646) 858-2320
210,Red Lobster,(212) 730-6706
211,BLVD Bistro,(212) 678-6200
212,Two Forks,(646) 755-8191
213,Bill’s Bar & Burger,(212) 705-8510
214,The Grand,(718) 806-1504
215,Mercury Bar,(212) 262-7755
216,Skinflints,(718) 745-1116
217,AOA Bar & Grill,(212) 925-1600
218,Borough Restaurant and Bar,(718) 230-4728
219,Clinton Hall,(212) 695-0036
220,The Horny Ram,(917) 261-4136
221,Linen Hall,(646) 602-9316
222,Grape and Grain,(646) 490-4029
223,Stewart’s Restaurant,(347) 497-4357
224,Fools Gold NYC,(212) 673-2337
225,Effy’s Kitchen,(212) 427-8900
226,The Sanchez Luncheonette,(718) 786-7688
227,The Half Pint,(212) 260-1088
228,Mable’s Smokehouse & Banquet Hall,(718) 218-6655
229,George Keeley,(212) 873-0251
230,Ivy Lane,(212) 641-0577
231,Sticky’s Finger Joint,(917) 423-8215
232,The Castello Plan,(718) 856-8888
233,Sunflower Cafe,(917) 262-0804
234,Tambour,(347) 916-1747
235,Worthwild,(718) 942-9385
236,Hudson Malone: A New York Joint,(212) 355-6607
237,Dashi - Brooklyn,(929) 276-3310
238,Woodbines,(718) 361-8488
239,Duke’s,(212) 717-2020
240,Blue Haven East,(646) 678-4200
241,Elder Greene,(718) 389-0878
242,Bareburger,(212) 477-8125
243,The Queensboro,(929) 296-0038
244,Lips - New York,(212) 675-7710
245,STK Midtown,(646) 624-2455
246,Dallas BBQ,(212) 221-9000
247,The Whitby Bar and Restaurant,(646) 928-4207
248,Jack Doyle’s Bar & Restaurant,(212) 268-1255
249,Avenue C Restaurant,(646) 707-0077
250,P.J. Clarke’s,(212) 285-1500
251,Junction Food Court,(718) 683-3213
252,Quality Eats,(212) 257-8882
253,The Grey Dog,(212) 966-1060
254,Cobble Hill Coffeeshop,(718) 852-1162
255,Junior’s Restaurant & Bakery - 49th St.,(212) 365-5900
256,The Starlight,(718) 486-3700
257,Blanca,(347) 799-2807
258,Red Hook Tavern,(917) 966-6094
259,Allswell,(347) 799-2743
260,Proper West,(212) 997-9000
261,Silver Spoon Diner,(718) 393-3000
262,OTB,(347) 763-1481
263,123 Burger Shot Beer,(212) 315-0123
264,The Commons Chelsea,(212) 929-9333
265,Bar Basic,(347) 348-3046
266,Diller,(917) 262-0550
267,Mekelburg’s,(718) 399-2337
268,Clinton Street Baking Company,(646) 602-6263
269,Feast,(212) 529-8880
270,Broadway Restaurant,(212) 529-8880
271,The Jeffrey Craft Beer & Bites,(212) 355-2337
272,Blue Ribbon Brasserie - Brooklyn,(718) 840-0404
273,Gramercy Tavern,(212) 477-0777
274,Faces & Names,(212) 586-9311
275,Park Slope Ale House,(718) 788-1756
276,Cream Ridgewood,(718) 576-3237
277,Red Rooster Harlem,(212) 792-9001
278,The Dish,(212) 352-9800
279,AOA Bar & Grill,(212) 925-1600
280,The Meatball Shop,(718) 551-0520
281,Boulton & Watt,(646) 490-6004
282,LongHorn Steakhouse,(718) 335-1371
283,The Dutch,(212) 677-6200
284,Hungry?,(347) 987-3893
285,Pj Restaurant & Bakery,(718) 363-2450
286,Lighthouse Outpost,(646) 912-9422
287,Bareburger,(212) 685-2273
288,Cebu Bar & Bistro,(718) 492-5095
289,Lone Star Bar & Grill,(718) 833-5180
290,The Factory 380,(212) 686-6380
291,Holy Ground,(646) 882-0666
292,Wheeler’s Restaurant,(718) 646-9320
293,Murphy’s Tavern,(212) 425-1700
294,Emmett’s,(917) 639-3571
295,Aretsky’s Patroon,(212) 883-7373
296,Bravest,(212) 683-3766
297,Pop’s Diner,(718) 463-7719
298,Copinette,(212) 903-4001
299,The Bar Room,(212) 561-5523
300,Woodpecker by David Burke,(646) 398-7664
301,Quality Eats,(212) 337-9988
302,Philip Marie,(212) 242-6200
303,Lexington Brass,(212) 392-5976
304,43 Bar & Grill,(718) 361-3090
305,Sticky’s Finger Joint,(212) 730-7190
306,Elmo,(212) 337-8000
307,Foodstruck,(347) 242-3675
308,The Grayson,(212) 510-8726
309,3 Guys,(646) 560-4432
310,AOA Bar & Grill,(212) 925-1600
311,The Counting Room,(718) 599-1860
312,Café Standard,(212) 475-5700
313,Philadelphia Grille,(718) 238-0747
314,The Avenue Restaurant,(347) 725-3853
315,District Tap House,(212) 221-1822
316,Five Leaves,(718) 383-5345
317,Dig,(212) 776-4047
318,The Gem Saloon,(646) 612-7757
319,Concord Hill,(347) 463-9322
320,Camperdown Elm,(347) 294-4786
321,The Gold Room,(718) 618-7130
322,Five Mile Stone,(212) 933-0913
323,Harvest Kitchen,(646) 870-0810
324,Mac Shack,(718) 230-0727
325,The Ribbon,(347) 504-7541
326,The Bar Room,(212) 333-1220
327,The Chelsea Bell,(212) 242-2425
328,brooklyn steak & lobster,(212) 242-2425
329,Petaluma,(212) 772-8800
330,Locksmith Bar,(212) 304-9463
331,THE WELL Kitchen & Table,(646) 560-8088
332,The Regency Bar & Grill,(212) 339-4050
333,Third Avenue Ale House,(646) 559-9131
334,Luke’s Bar and Grill,(212) 249-7070
335,Sticky’s Finger Joint,(917) 261-5971
336,Pineapple Club,(212) 697-8600
337,Hudson Yards Tavern,(646) 713-2003
338,Tavern on the Green,(212) 877-8684
339,The Daisy,(646) 964-5756
340,Maison Premiere,(347) 335-0446
341,Jack Doyle’s Bar & Restaurant,(212) 268-1255
342,The Heights Bar & Grill,(212) 866-7035
343,232 Bleecker,(646) 905-5800
344,JG Melon,(212) 460-0900
345,Tribeca’s Kitchen,(212) 227-5100
346,The Dead Poet,(212) 595-5670
347,The Cheesecake Factory,(718) 699-1212
348,Glass House Tavern,(212) 730-4800
349,Montagu’s Gusto,(917) 261-4129
350,Polonica Restaurant,(718) 630-5805
351,Cooper’s Craft & Kitchen,(646) 661-7711
352,Legends New York City,(212) 967-7792
353,Westville Dumbo,(718) 618-5699
354,Amity Hall Uptown,(646) 930-2501
355,Mayfield,(347) 318-3643
356,Asiate,(212) 805-8800
357,Thursday Kitchen,(212) 805-8800
358,Treadwell Park West,(212) 388-6751
359,Buena Vista Restaurant & Bar,(212) 388-5040
360,Ethyl’s Alcohol & Food,(212) 300-4132
361,District Social,(212) 994-9599
362,Harlem Shake,(212) 222-8300
363,David’s Cafe,(646) 678-3206
364,The Writing Room,(212) 335-0075
365,Henry’s Rooftop Bar,(212) 755-1400
366,Cafe Luka,(212) 585-2205
367,T Roc Homestyle Cooking,(718) 484-8844
368,Minetta Tavern,(212) 475-3850
369,Talon,(718) 366-3192
370,Cornerstone Cafe,(212) 228-1260
371,Sean’s Bar & Kitchen,(646) 604-9431
372,AOA Bar & Grill,(212) 925-1600
373,Nowadays,(347) 523-8535
374,High Street On Hudson,(917) 388-3944
375,Clark’s Restaurant,(718) 855-5484
376,Hamilton’s,(718) 438-0488
377,O’Hara’s Restaurant and Pub,(212) 267-3032
378,Rustik Tavern,(347) 406-9700
379,Daniel,(212) 288-0033
380,Denny’s,(718) 446-1312
381,Grand Canyon Restaurant,(347) 889-6670
382,The Lowery Bar & Kitchen,(929) 208-0054
383,Society Cafe,(347) 441-4942
384,Greenwich Street Tavern,(212) 334-7827
385,Annie Moore’s Bar & Restaurant,(212) 986-7826
386,Essen Slow Fast Food,(212) 207-4566
387,Frank’s Luncheonette,(718) 875-5449
388,Friedman’s,(212) 932-0600
389,Almond,(212) 228-7557
390,Boilermaker,(212) 995-5400
391,The Bluebell Cafe,(646) 649-2389
392,Joseph Leonard,(646) 429-8383
393,The Wicked Monk,(347) 497-5152
394,Mama Fox,(347) 663-4535
395,Anella,(718) 389-8100
396,Natureworks,(212) 725-1411
397,Route 66 Bar & Grill,(212) 977-7600
398,Blackbird’s Bar & Restaurant,(718) 943-6899
399,Bierocracy,(718) 361-9333
400,Texas Chicken & Burgers,(844) 998-3927
401,Lexington Candy Shop,(212) 288-0057
402,SPIN - New York,(212) 982-8802
403,AOA Bar & Grill,(212) 925-1600
404,Uncle Jack’s Meat House,(917) 745-1553
405,The National Bar and Dining Rooms,(212) 715-2400
406,Atwood,(212) 371-2233
407,The Marilyn,(212) 615-9900
408,Mountain Bird,(607) 358-6125
409,Joe Allen,(212) 581-6464
410,The Fillmore Delicatessen,(646) 912-9488
411,The OX Tavern,(718) 284-0005
412,Tír na Nóg,(212) 760-0072
413,Burger & Lobster,(646) 833-7532
414,Zona Sur Bar Bistro,(718) 788-1606
415,Cask Bar & Kitchen,(212) 300-4924
416,Brooklyn Blend,(718) 484-2247
417,Rabbithole Restaurant,(718) 782-0910
418,Fort Washington Public House,(646) 813-2210
419,Augurs Well,(646) 813-2210
420,Marlow & Sons,(718) 384-1441
421,Amsterdam Ale House,(212) 362-7260
422,Onieals,(201) 653-1492
423,Bo’s Kitchen & Bar Room,(212) 234-2373
424,Henry’s End,(718) 834-1776
425,Clubhouse - Temporarily Closed,(212) 843-5100
426,The Harold,(212) 686-1888
427,The Spot Mix Grill,(201) 867-7768
428,Monkey Bar,(212) 288-1010
429,Eastwood,(212) 233-0124
430,701West,(212) 261-5400
431,Creamline,(646) 410-2040
432,Pier i Cafe,(212) 362-4450
433,Sweet Life Cafe,(212) 807-0003
434,Jack Doyle’s Bar & Restaurant,(212) 268-1255
435,Blackwells Pub And Restaurant,(212) 661-7890
436,City Vineyard,(347) 349-1204
437,Mother’s Ruin,(212) 219-0942
438,Wild,(212) 929-2920
439,Luna’s Kitchen & Bar,(347) 448-6113
440,Rattle N Hum West,(917) 262-0423
441,Black Iron Burger,(646) 476-3116
442,Hudson Station,(212) 244-4406
443,21 Club,(212) 582-7200
444,Bubby’s Tribeca,(212) 219-0666
445,Taproom No 307,(212) 725-4766
446,Li Greci’s Staaten,(718) 448-6000
447,Brindle Room,(212) 529-9702
448,Colonie,(718) 855-7500
449,Foragers Table,(212) 243-8888
450,Houston’s Restaurant,(201) 488-5667
451,Dickey’s Barbecue Pit,(347) 889-5400
452,Westville Hudson,(212) 776-1404
453,Take Away & Cafe,(718) 680-0777
454,Lighthouse,(347) 789-7742
455,Sunset Park Diner & Donuts,(718) 438-0381
456,Eugene & Co,(718) 443-2223
457,Harold’s,(212) 390-8484
458,Fluffy’s Cafe & Pizzeria,(212) 245-0440
459,Brooklyn Public House,(347) 227-8976
460,The Hard Swallow,(212) 256-0124
461,The Cabin NYC,(212) 777-0454
462,Hartbreakers,(718) 326-4500
463,Marshall Street Bar & Restaurant,(917) 472-7988
464,Palace Restaurant,(212) 319-8989
465,Jack Doyle’s Bar & Restaurant,(212) 268-1255
466,The Douglass Public House,(718) 857-4337
467,The Red Flame,(212) 869-3965
468,Trump Grill,(212) 836-3249
469,Canlon’s Restaurant,(718) 667-3013
470,Bareburger,(212) 679-2273
471,Bluebird,(718) 484-9494
472,The Westbury Inn,(929) 210-8472
473,Viand,(212) 362-3333
474,Munchinette,(718) 332-5463
475,The Ellington,(212) 222-4050
476,ABC Kitchen,(212) 475-5829
477,Diner,(718) 486-3077
478,A.cafe,(646) 744-3104
479,The Kitchen Sink,(212) 420-8050
480,Cafe Cluny,(212) 255-6900
481,The Loyal,(212) 488-5800
482,Aldo Sohm Wine Bar,(212) 554-1143
483,Maggie Mays,(718) 224-9898
484,Whitmans Hudson Yards,(212) 837-1416
485,Fields Good Chicken,(212) 997-1272
486,Press 195,(718) 281-1950
487,Flatiron Hall Restaurant and Beer Hall,(646) 790-3200
488,The Tailor Public House,(646) 949-4900
489,Duke’s,(212) 949-5400
490,Pig n Whistle,(212) 239-4820
491,Woodrow’s,(212) 676-0300
492,Kleinberg’s,(347) 529-1922
493,Lindenwood Diner & Restaurant,(718) 235-6343
494,Rebecca’s,(347) 240-9899
495,BurgerFi,(646) 684-3172
496,AOA Bar & Grill,(212) 925-1600
497,Haswell Green’s,(212) 245-2801
498,Friedman’s,(646) 864-2289
499,Beach Cafe,(212) 988-7299
500,Haven Rooftop,(212) 466-9000
501,Rincón Melania,(718) 361-1905
502,Ellington in the Park,(917) 922-1156
503,The Modern,(212) 333-1220
504,99 Rogers,(718) 708-4933
505,Emoji Burger,(917) 832-6427
506,Between the Bread,(212) 765-1687
507,Brasserie Saint Marc,(212) 548-3959
508,Mulberry & Vine,(917) 810-2880
509,PJ Carneys,(212) 664-0056
510,Bedford Falls,(212) 717-8181
511,Whitman’s SOHO,(646) 669-9339
512,Kings’ Carriage House,(212) 734-5490
513,Astoria Craft,(718) 278-4300
514,Bar Beau,(718) 278-4300
515,August,(212) 935-1433
516,e’s BAR,(212) 877-0961
517,Zoe’s Place,(718) 361-7895
518,Old Town Bar & Restaurant,(212) 529-6732
519,Beasts & Bottles,(718) 855-3158
520,Sanfords Astoria,(718) 932-9569
521,Alameda,(718) 932-9569
522,Tryon Public House,(646) 918-7129
523,Butch & Coco Cafe,(347) 240-7640
524,Jackson’s Eatery | Bar,(347) 649-1721
525,MATTER,(718) 650-3030
526,5 Napkin Burger,(212) 249-0777
527,AOA Bar & Grill,(212) 925-1600
528,My Friend Duke,(646) 455-0684
529,Two Saints,(347) 627-8444
530,The Edge Harlem,(212) 939-9688
531,Doc Watson’s,(212) 988-5300
532,Sarabeths - Central Park,(212) 826-5959
533,The Nugget Spot,(646) 422-7346
534,Chicken Shack,(718) 721-3035
535,The Liberty,(212) 967-4000
536,Charlie’s Bar & Kitchen,(718) 684-2338
537,Fields Good Chicken,(212) 675-0462
538,Tina’s Place,(718) 821-9595
539,The Shadmoor,(212) 385-9195
540,Hill Country Chicken,(212) 257-6446
541,The Factory Bar & Restaurant,(718) 381-2332
542,Mad Donkey Beer Bar & Grill,(718) 204-2070
543,Black Emperor Bar,(646) 362-5843
544,Chadwick’s,(718) 833-9855
545,Bocado Cafe,(212) 289-9004
546,Loosie’s Kitchen,(718) 384-2904
547,The Wayfarer,(212) 691-0030
548,Atlantic Grill,(212) 787-4663
549,North Square,(212) 254-1200
550,Hard Rock Cafe,(212) 343-3355
551,Sarabeth’s East,(212) 410-7335
552,Hart’s Restaurant,(718) 636-6228
553,Boston Market,(212) 206-1221
554,Westville - Wall St,(212) 741-4780
555,The Blacksmith NYC Bar and Kitchen,(212) 337-8301
556,Legacy Records,(929) 418-0115
557,Julia’s,(917) 909-1314
558,AOA Bar & Grill,(212) 925-1600
559,Divine Bar & Grill,(718) 455-5455
560,Midnights,(718) 384-6961
561,Slick Willie Table & Bar,(929) 337-6043
562,Clinton Hall,(212) 363-6000
563,TGA NYC,(212) 651-4842
564,McFadden’s,(212) 986-1515
565,Del Frisco’s Double Eagle Steakhouse,(212) 575-5129
566,Frying Pan Brooklyn,(646) 708-1814
567,The Counter,(212) 997-6801
568,Blue Smoke,(212) 447-7733
569,The Meatball Shop,(212) 257-4363
570,Auriga Cafe,(646) 669-7231
571,Connolly’s Pub & Restaurant,(212) 489-0271
572,Sant Ambroeus Coffee Bar at Loews Regency Hotel,(212) 339-4051
573,Gertie,(718) 636-0902
574,The Grey Dog - Nolita,(212) 966-1060
575,Rose’s,(718) 230-0427
576,Emma Bistro,(201) 402-7719
577,The Farm On Adderley,(718) 287-3101
578,Sons of Essex,(212) 674-7100
579,Dig,(212) 253-6174
580,Connolly’s Pub & Restaurant,(212) 867-3767
581,Dickey’s Barbecue Pit,(347) 889-5400
582,Ocean Prime,(212) 956-1404
583,Koda Restaurant & Lounge,(347) 223-4026
584,Brooklyn Diner,(212) 977-1957
585,Clyde Fraziers Wine and Dine,(212) 842-1110
586,WOW Bistro,(718) 980-8866
587,Lucky’s Famous Burgers,(212) 242-4900
588,NYC Style Gyro,(646) 361-1008
589,AOA Bar & Grill,(212) 925-1600
590,Pure Bistro,(718) 622-5314
591,Fraunces Tavern,(212) 968-1776
592,Island,(212) 996-1200
593,9ten Restaurant,(917) 639-3366
594,O’Keefe’s Bar & Grill,(718) 855-8751
595,Corkscrew Bar,(201) 239-0087
596,Fuel Juice Bar,(347) 787-1834
597,Fields Good Chicken,(646) 895-6831
598,JoJo,(212) 223-5656
599,Cafe Clover,(212) 675-4350
600,Mott Haven Bar and Grill,(718) 665-2001
601,Phebe’s,(212) 358-1902
602,Maxwell’s Central Park,(646) 657-0993
603,The Hop Shoppe,(718) 448-3400
604,Prohibition,(212) 579-3100
605,Chez Ma Tante,(718) 389-3606
606,The House of Brews,(212) 245-0551
607,Motel Morris,(646) 880-4810
608,Silver Light Tavern,(718) 963-0384
609,Alfie’s,(212) 757-2390
610,Blvd Diner,(718) 806-1499
611,SPiN 54,(212) 982-8802
612,Ten Hope,(347) 916-0951
613,Pino Wine Bar,(917) 991-3718
614,Hudson Yards Grill,(212) 545-7600
615,Blackbarn Cafe | Bar,(212) 620-0041
616,"Whispers Restaurant, Bar & Lounge",(646) 864-3618
617,Klein’s,(718) 215-7100
618,Johnny Utah’s,(212) 265-8824
619,Sarabeth’s Tribeca,(212) 966-0421
620,AOA Bar & Grill,(212) 925-1600
621,Michael’s,(212) 767-0555
622,Merchants River House,(212) 432-1451
623,Magdalene,(347) 689-2988
624,Simon & The Whale,(212) 475-1924
625,Tipsy NoMad,(212) 481-3100
626,Windy City Ale House,(718) 630-5700
627,Black Iron Burger,(929) 419-6888
628,Max Brenner - New York,(646) 467-8803
629,& Sons,(718) 281-0159
630,Jack Demsey’s,(212) 629-9899
631,Ducks Eatery,(212) 432-3825
632,The Distillery,(212) 767-0077
633,Hurley’s,(212) 765-8981
634,Sugar N Coal,(718) 200-9606
635,Barfly NY,(212) 473-9660
636,Sojourn,(212) 537-7745
637,Mile 17 Bar & Restaurant,(212) 772-1734
638,Hot Potato House,(718) 975-7990
639,Clinton Hall,(212) 758-8519
640,Seven Restaurant,(718) 230-7777
641,Bridie’s Bar & Grill,(718) 426-8580
642,Sticky’s Finger Joint,(646) 490-5856
643,Traif,(347) 844-9578
644,Irvington,(212) 677-0425
645,The Brooklyneer,(646) 692-4911
646,Wolfgang’s Steakhouse,(212) 921-3720
647,El Paso Mexican Grill Flatbush,(347) 305-3600
648,Nowon,(646) 692-3867
649,Evodio’s Place,(718) 857-2368
650,Black Iron Burger,(646) 747-0814
651,AOA Bar & Grill,(212) 925-1600
652,Sky 55 Bar & Grill,(646) 590-6556
653,At the Wallace,(646) 590-6556
654,Covina,(212) 204-0225
655,June,(917) 909-0434
656,Dawa’s,(718) 899-8629
657,Made Nice,(212) 887-1677
658,Clancey,(917) 388-3575
659,Sticky’s Finger Joint,(917) 444-1810
660,Park Avenue Winter,(212) 951-7111
661,Point Break,(212) 391-8053
662,Gemini,(212) 532-2143
663,Dominie’s Hoek,(212) 532-2143
664,Anopoli Ice Cream Parlor and Family Restaurant,(718) 748-3863
665,Bistro Verde - Temporarily Closed,(212) 295-2187
666,American Whiskey,(212) 967-1070
667,Jean-Georges,(212) 299-3900
668,Dillingers Pub & Grill,(718) 956-5601
669,Hill and Bay,(212) 245-5554
670,Upper East Café,(917) 475-1721
671,Overlook,(212) 682-7267
672,Mathews Food & Drink,(201) 333-1258
673,Wing Jawn,(347) 987-4379
674,Clement,(212) 903-3918
675,Clover Club,(718) 855-7939
676,G.Millz Boken Roadhouse,(201) 620-9875
677,R Lounge at Two Times Square,(212) 261-5114
678,Buckley’s Restaurant and Catering,(718) 998-4222
679,Community Food & Juice,(212) 665-2800
680,Chris’s Restaurant,(347) 462-3755
681,As Is NYC,(646) 858-1153
682,AOA Bar & Grill,(212) 925-1600
683,5C Cafe,(917) 261-6249
684,Hardee’s,(718) 773-2789
685,Redeye Grill,(212) 541-9000
686,NOMO Kitchen,(646) 218-6400
